iter	Passed	Remaining
0	0	51
1	0	45
2	1	42
3	1	40
4	2	38
5	2	38
6	2	37
7	3	36
8	3	36
9	3	35
10	4	34
11	4	34
12	5	33
13	5	33
14	5	32
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	8	30
21	8	29
22	8	29
23	9	29
24	9	28
25	9	28
26	10	27
27	10	27
28	11	27
29	11	26
30	11	26
31	12	25
32	12	25
33	12	25
34	13	24
35	13	24
36	14	23
37	14	23
38	14	23
39	15	22
40	15	22
41	15	22
42	16	21
43	16	21
44	16	20
45	17	20
46	17	19
47	18	19
48	18	19
49	18	18
50	19	18
51	19	18
52	19	17
53	20	17
54	20	16
55	21	16
56	21	16
57	21	15
58	22	15
59	22	15
60	23	14
61	23	14
62	23	13
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	26	11
69	26	11
70	26	10
71	27	10
72	27	10
73	28	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	32	4
87	33	4
88	33	4
89	34	3
90	34	3
91	34	3
92	35	2
93	35	2
94	36	1
95	36	1
96	36	1
97	37	0
98	37	0
99	38	0
